Name,Position,Height,Weight,Major,Team,School
Hank Thomas,OF/1B,6' 5'',198 lb,Economics,Ohio State Buckeyes,Ohio State University
Tyler Bischke,INF,5' 10'',220 lb,Exercise Science,Pittsburgh Panthers,University of Pittsburgh
Keeton Burroughs,INF,5' 8'',185 lb,Economics,Pittsburgh Panthers,University of Pittsburgh
Jake Kendro,INF,6' 0'',220 lb,Communications,Pittsburgh Panthers,University of Pittsburgh
Austyn Winkleblech,OF,5' 10'',205 lb,Public Health,Pittsburgh Panthers,University of Pittsburgh
Dom Popa,OF,5' 11'',210 lb,Economics,Pittsburgh Panthers,University of Pittsburgh
C.J. Funk,OF,6' 1'',205 lb,Engineering,Pittsburgh Panthers,University of Pittsburgh
Jonah St. Antoine,INF,5' 10'',165 lb,Business Administration,Pittsburgh Panthers,University of Pittsburgh
Bryce Rudisill,INF,5' 11'',210 lb,Computer Science,Pittsburgh Panthers,University of Pittsburgh
Justin Fogel,C,6' 0'',205 lb,Computer Science,Pittsburgh Panthers,University of Pittsburgh
Ryan Zuckerman,INF,6' 4'',185 lb,Communications,Pittsburgh Panthers,University of Pittsburgh
Ethan Firoved,LHP,6' 0'',215 lb,Accounting,Pittsburgh Panthers,University of Pittsburgh
Anthony LaSala,INF,5' 10'',165 lb,Engineering,Pittsburgh Panthers,University of Pittsburgh
Kyle Mosley,RHP,6' 2'',195 lb,Information Systems,Pittsburgh Panthers,University of Pittsburgh
Sebastian Pisacreta,C,6' 0'',200 lb,Economics,Pittsburgh Panthers,University of Pittsburgh
Gavin Chillot,RHP,5' 9'',170 lb,Finance,Pittsburgh Panthers,University of Pittsburgh
Joey Ciancimino,RHP,5' 10'',195 lb,Finance,Pittsburgh Panthers,University of Pittsburgh
Turner Grau,OF,6' 3'',185 lb,Business Administration,Pittsburgh Panthers,University of Pittsburgh
Chris Baker,OF,5' 10'',165 lb,Finance,Pittsburgh Panthers,University of Pittsburgh
Ryan Partridge,LHP,6' 2'',220 lb,Public Health,Pittsburgh Panthers,University of Pittsburgh
Will Hummel,RHP,6' 4'',210 lb,Accounting,Pittsburgh Panthers,University of Pittsburgh
Matt Porter,LHP,5' 11'',190 lb,Finance,Pittsburgh Panthers,University of Pittsburgh
Phil Fox,RHP,5' 9'',185 lb,Psychology,Pittsburgh Panthers,University of Pittsburgh
Ryan Andrade,RHP,6' 2'',180 lb,Finance,Pittsburgh Panthers,University of Pittsburgh
Matthew Fernandez,RHP,6' 0'',180 lb,Sports Management,Pittsburgh Panthers,University of Pittsburgh
Kyle Demi,RHP,6' 2'',205 lb,Engineering,Pittsburgh Panthers,University of Pittsburgh
Erubiel Candelario,RHP,6' 1'',205 lb,Computer Science,Pittsburgh Panthers,University of Pittsburgh
Luke Cantwell,INF,6' 0'',190 lb,Engineering,Pittsburgh Panthers,University of Pittsburgh
Kayden Faulcon,RHP,5' 11'',210 lb,Psychology,Pittsburgh Panthers,University of Pittsburgh
Jayden Melendez,C,5' 9'',215 lb,Marketing,Pittsburgh Panthers,University of Pittsburgh
Holden Phelps,RHP,6' 6'',190 lb,Information Systems,Pittsburgh Panthers,University of Pittsburgh
Richie Dell,RHP,6' 2'',210 lb,Public Health,Pittsburgh Panthers,University of Pittsburgh
Ryan Reed,LHP,6' 3'',195 lb,Sports Management,Pittsburgh Panthers,University of Pittsburgh
Jack Sokol,RHP,6' 4'',205 lb,Economics,Pittsburgh Panthers,University of Pittsburgh
Aidan Coleman,RHP,6' 1'',185 lb,Computer Science,Pittsburgh Panthers,University of Pittsburgh
Ben Kovel,RHP,6' 1'',210 lb,Accounting,Pittsburgh Panthers,University of Pittsburgh
Gavin Lill,RHP,6' 4'',205 lb,Marketing,Pittsburgh Panthers,University of Pittsburgh
Nathan Beimel,LHP,6' 2'',175 lb,Finance,Pittsburgh Panthers,University of Pittsburgh
Josh Spiegel,C/INF,6' 2'',165 lb,Economics,Pittsburgh Panthers,University of Pittsburgh
Christian Moore,INF,6' 1'',216 lbs,Sports Management,Tennessee Volunteers,University of Tennessee
Ariel Antigua,INF,5' 8'',184 lbs,Health Sciences,Tennessee Volunteers,University of Tennessee
Alex Perry,INF,6' 4'',206 lbs,Business Administration,Tennessee Volunteers,University of Tennessee
Cannon Peebles,C,5' 11'',194 lbs,Marketing,Tennessee Volunteers,University of Tennessee
Bradke Lohry,INF,5' 8'',171 lbs,Health Sciences,Tennessee Volunteers,University of Tennessee
Nate Snead,RHP,6' 2'',212 lbs,Communications,Tennessee Volunteers,University of Tennessee
Dylan Dreiling,OF,5' 11'',200 lbs,Business Administration,Tennessee Volunteers,University of Tennessee
Hunter Ensley,OF,6' 1'',196 lbs,Finance,Tennessee Volunteers,University of Tennessee
Cal Stark,C,6' 1'',200 lbs,Sociology,Tennessee Volunteers,University of Tennessee
Billy Amick,INF,6' 1'',217 lbs,Exercise Science,Tennessee Volunteers,University of Tennessee
Ethan Payne,UTL,6' 4'',211 lbs,Kinesiology,Tennessee Volunteers,University of Tennessee
Reese Chapman,OF,6' 1'',212 lbs,Sports Management,Tennessee Volunteers,University of Tennessee
Charlie Taylor,C,5' 11'',190 lbs,Accounting,Tennessee Volunteers,University of Tennessee
JJ Garcia,RHP,6' 6'',209 lbs,Communications,Tennessee Volunteers,University of Tennessee
Dalton Bargo,UTL,6' 1'',196 lbs,Kinesiology,Tennessee Volunteers,University of Tennessee
Robin Villeneuve,1B/OF,6' 1'',214 lbs,Computer Science,Tennessee Volunteers,University of Tennessee
AJ Causey,RHP,6' 3'',205 lbs,Economics,Tennessee Volunteers,University of Tennessee
Andrew Behnke,LHP,5' 10'',181 lbs,Criminal Justice,Tennessee Volunteers,University of Tennessee
Colby Backus,OF,6' 4'',223 lbs,Information Systems,Tennessee Volunteers,University of Tennessee
Kavares Tears,OF,6' 0'',200 lbs,Finance,Tennessee Volunteers,University of Tennessee
Dean Curley,INF,6' 3'',212 lbs,Information Systems,Tennessee Volunteers,University of Tennessee
Blake Burke,1B,6' 3'',236 lbs,Finance,Tennessee Volunteers,University of Tennessee
Chris Stamos,LHP,6' 4'',209 lbs,Computer Science,Tennessee Volunteers,University of Tennessee
Aaron Combs,RHP,6' 3'',203 lbs,Marketing,Tennessee Volunteers,University of Tennessee
Brady Robertson,RHP,6' 3'',199 lbs,Psychology,Tennessee Volunteers,University of Tennessee
Stone Lawless,C,6' 2'',225 lbs,Economics,Tennessee Volunteers,University of Tennessee
Austin Hunley,RHP,6' 3'',196 lbs,Computer Science,Tennessee Volunteers,University of Tennessee
Drew Beam,RHP,6' 4'',207 lbs,Communications,Tennessee Volunteers,University of Tennessee
AJ Russell,RHP,6' 6'',207 lbs,Health Sciences,Tennessee Volunteers,University of Tennessee
Derek Schaefer,RHP,6' 2'',206 lbs,Sports Management,Tennessee Volunteers,University of Tennessee
Kirby Connell,LHP,5' 11'',196 lbs,Psychology,Tennessee Volunteers,University of Tennessee
Blake Grimmer,INF,6' 3'',202 lbs,Communications,Tennessee Volunteers,University of Tennessee
Dylan Loy,LHP,6' 0'',194 lbs,Psychology,Tennessee Volunteers,University of Tennessee
Hunter High,INF,6' 0'',198 lbs,Psychology,Tennessee Volunteers,University of Tennessee
Camden Bates,INF,5' 10'',165 lbs,Sports Management,Tennessee Volunteers,University of Tennessee
Luke Payne,LHP,6' 4'',191 lbs,Sports Management,Tennessee Volunteers,University of Tennessee
Marcus Phillips,RHP/OF,6' 4'',250 lbs,Communications,Tennessee Volunteers,University of Tennessee
Matthew Dallas,LHP,6' 5'',192 lbs,Economics,Tennessee Volunteers,University of Tennessee
Brayden Sharp,OF/LHP,6' 2'',174 lbs,Psychology,Tennessee Volunteers,University of Tennessee
Zander Sechrist,LHP,6' 2'',193 lbs,Psychology,Tennessee Volunteers,University of Tennessee
Jayden Duplantier,INF,6' 1'',190 lb,Human Dimensions of Organizations,Texas Longhorns,UTA
Jalin Flores,INF,6' 2'',210 lb,Strategic Communication,Texas Longhorns,UTA
Porter Brown,OF,6' 0'',205 lb,Physical Culture & Sports,Texas Longhorns,UTA
Rylan Galvan,C,6' 0'',205 lb,Sport Management,Texas Longhorns,UTA
Will Gasparino,OF,6' 6'',210 lb,Communication & Leadership,Texas Longhorns,UTA
Jared Thomas,INF/OF,6' 2'',190 lb,Economics,Texas Longhorns,UTA
Kimble Schuessler,C,6' 2'',210 lb,Applied Movement Science,Texas Longhorns,UTA
Tanner Witt,RHP,6' 6'',230 lb,Corporate Communication,Texas Longhorns,UTA
Cade Oâ€™Hara,INF,5' 11'',180 lb,Human Dimensions of Organizations,Texas Longhorns,UTA
Peyton Powell,UTL,6' 1'',190 lb,Strategic Communication,Texas Longhorns,UTA
Easton Tumis,RHP,6' 4'',155 lb,Physical Culture & Sports,Texas Longhorns,UTA
Sam Ardoin,INF,6' 1'',170 lb,Sport Management,Texas Longhorns,UTA
Chase Lummus,LHP,6' 1'',205 lb,Communication & Leadership,Texas Longhorns,UTA
Jack O'Dowd,INF,6' 2'',210 lb,Economics,Texas Longhorns,UTA
Ace Whitehead,OF/LHP,5' 11'',195 lb,Applied Movement Science,Texas Longhorns,UTA
Cam Constantine,UTL,6' 0'',210 lb,Corporate Communication,Texas Longhorns,UTA
Dee Kennedy,INF,5' 11'',185 lb,Human Dimensions of Organizations,Texas Longhorns,UTA
Casey Borba,INF,6' 1'',210 lb,Strategic Communication,Texas Longhorns,UTA
Charlie Hurley,RHP,6' 8'',225 lb,Physical Culture & Sports,Texas Longhorns,UTA
Will Mercer,LHP,6' 1'',210 lb,Sport Management,Texas Longhorns,UTA
David Shaw,LHP,6' 7'',200 lb,Communication & Leadership,Texas Longhorns,UTA
Nik Sanders,C,6' 2'',215 lb,Economics,Texas Longhorns,UTA
Max Grubbs,RHP,6' 1'',200 lb,Applied Movement Science,Texas Longhorns,UTA
Blake Peterson,OF,6' 1'',210 lb,Corporate Communication,Texas Longhorns,UTA
Cody Howard,RHP,6' 1'',200 lb,Human Dimensions of Organizations,Texas Longhorns,UTA
Oliver Service,C/OF,6' 0'',195 lb,Strategic Communication,Texas Longhorns,UTA
Tommy Farmer IV,OF,6' 3'',205 lb,Physical Culture & Sports,Texas Longhorns,UTA
Max Belyeu,OF,6' 2'',210 lb,Sport Management,Texas Longhorns,UTA
Heston Tole,RHP,6' 6'',230 lb,Communication & Leadership,Texas Longhorns,UTA
Cole Selvig,RHP,6' 0'',205 lb,Economics,Texas Longhorns,UTA
George Zaharias,RHP,6' 3'',220 lb,Applied Movement Science,Texas Longhorns,UTA
Hudson Hamilton,RHP,6' 1'',210 lb,Corporate Communication,Texas Longhorns,UTA
Oliver Santos,LHP,6' 4'',205 lb,Human Dimensions of Organizations,Texas Longhorns,UTA
Seth Werchan,OF,6' 3'',205 lb,Strategic Communication,Texas Longhorns,UTA
Luke Harrison,LHP,6' 2'',205 lb,Physical Culture & Sports,Texas Longhorns,UTA
Brandon Bertsch,LHP,6' 0'',170 lb,Sport Management,Texas Longhorns,UTA
Casey Cummings,OF,6' 0'',190 lb,Communication & Leadership,Texas Longhorns,UTA
Gage Boehm,RHP,6' 5'',255 lb,Economics,Texas Longhorns,UTA
Lebarron Johnson Jr.,RHP,6' 4'',210 lb,Applied Movement Science,Texas Longhorns,UTA
Andre Duplantier II,RHP,6' 2'',215 lb,Corporate Communication,Texas Longhorns,UTA
Jo Oyama,Infielder,"5'6""",165 lb,International Studies,UC Irvine Anteaters,"University of California, Irvine"
Woody Hadeen,Infielder,"6'2""",195 lb,Sociology,UC Irvine Anteaters,"University of California, Irvine"
Dub Gleed,Infielder,"6'1""",200 lb,Social Ecology,UC Irvine Anteaters,"University of California, Irvine"
Caden Kendle,Outfielder,"5'11""",200 lb,Social Ecology,UC Irvine Anteaters,"University of California, Irvine"
Jacob Stinson,Outfielder,"6'1""",190 lb,Mechanical Engineering,UC Irvine Anteaters,"University of California, Irvine"
Thomas McCaffrey,Catcher,"5'11""",205 lb,Psychology,UC Irvine Anteaters,"University of California, Irvine"
Luke Spillane,Outfielder,"6'0""",195 lb,Sociology,UC Irvine Anteaters,"University of California, Irvine"
Myles Smith,Outfielder,"6'1""",205 lb,Education,UC Irvine Anteaters,"University of California, Irvine"
David Utagawa,Pitcher,"6'4""",230 lb,Psychological Science,UC Irvine Anteaters,"University of California, Irvine"
Nick Pinto,Pitcher,"6'0""",185 lb,Innovation & Entrepreneurship,UC Irvine Anteaters,"University of California, Irvine"
Danny Suarez,Pitcher,"6'4""",205 lb,Sociology,UC Irvine Anteaters,"University of California, Irvine"
Finnegan Wall,Pitcher,"6'2""",205 lb,Psychological Sciences,UC Irvine Anteaters,"University of California, Irvine"
Will Bermudez,Infielder,"5'10""",175 lb,Psychological Science,UC Irvine Anteaters,"University of California, Irvine"
Riley Kelly,Pitcher,"6'5""",215 lb,Education,UC Irvine Anteaters,"University of California, Irvine"
Ricky Tibbett,Pitcher,"6'2""",190 lb,Graduate Studies,UC Irvine Anteaters,"University of California, Irvine"
Tim Grack,Pitcher,"6'1""",185 lb,Business Economics,UC Irvine Anteaters,"University of California, Irvine"
Landon Gaz,First Baseman,"6'2""",230 lb,Social Ecology,UC Irvine Anteaters,"University of California, Irvine"
Cameron Wheeler,Pitcher,"6'1""",185 lb,Education Science,UC Irvine Anteaters,"University of California, Irvine"
Frankie Carney,Infielder,"5'11""",180 lb,Education,UC Irvine Anteaters,"University of California, Irvine"
Auggie Gutierrez,Infielder,"5'11""",180 lb,Mechanical Engineering,UC Irvine Anteaters,"University of California, Irvine"
James Castagnola,Infielder,"6'1""",190 lb,Business Economics,UC Irvine Anteaters,"University of California, Irvine"
Chase Call,Outfielder,"6'2""",210 lb,Public Health Policy,UC Irvine Anteaters,"University of California, Irvine"
Brandon Luu,Pitcher,"6'2""",220 lb,Psychology,UC Irvine Anteaters,"University of California, Irvine"
Trevor Hansen,Pitcher,"6'2""",195 lb,Social Ecology,UC Irvine Anteaters,"University of California, Irvine"
Trevor Wilson,Outfielder,"6'2""",185 lb,Business Administration,UC Irvine Anteaters,"University of California, Irvine"
Dante Zamudio,Pitcher/Infielder,"6'1""",190 lb,Criminology,UC Irvine Anteaters,"University of California, Irvine"
David Vizcaino,Pitcher,"6'3""",225 lb,Sociology,UC Irvine Anteaters,"University of California, Irvine"
Max Martin,Pitcher,"6'5""",190 lb,Sociology,UC Irvine Anteaters,"University of California, Irvine"
Abraham Garcia-Pacheco,Catcher,"6'0""",200 lb,Education Science,UC Irvine Anteaters,"University of California, Irvine"
Michael Pirrello,Pitcher,"6'2""",180 lb,Biological Sciences,UC Irvine Anteaters,"University of California, Irvine"
Andrew Grove,Pitcher,"6'4""",210 lb,Undeclared,UC Irvine Anteaters,"University of California, Irvine"
Holt Williams,Catcher/1B,"6'4""",220 lb,Chemical Engineering,UC Irvine Anteaters,"University of California, Irvine"
Lucas Scott,Infielder,"6'0""",175 lb,Undeclared,UC Irvine Anteaters,"University of California, Irvine"
David Butler,Pitcher,"6'2""",180 lb,Sociology,UC Irvine Anteaters,"University of California, Irvine"
Blake Penso,Catcher,"6'3""",230 lb,Psychology,UC Irvine Anteaters,"University of California, Irvine"
Elliot Joslin,Pitcher,"6'6""",225 lb,Education,UC Irvine Anteaters,"University of California, Irvine"
Ryder Brooks,Pitcher,"6'2""",195 lb,Business Economics,UC Irvine Anteaters,"University of California, Irvine"
Ricky Ojeda,Pitcher,"5'11""",170 lb,Business Economics,UC Irvine Anteaters,"University of California, Irvine"
Nick Rincover,Pitcher,"6'2""",210 lb,Criminology,UC Irvine Anteaters,"University of California, Irvine"
Anthony Martinez,First Baseman,"6'3""",230 lb,Sociology,UC Irvine Anteaters,"University of California, Irvine"
Reiss Calvin,INF/OF,"6'2""",193 lb,Business Administration,Campbell Fighting Camels,Campbell University
Nick Oakley,INF,"5'9""",180 lb,Economics,Campbell Fighting Camels,Campbell University
Jessada Brown,OF/C,"5'11""",200 lb,Sociology,Campbell Fighting Camels,Campbell University
Jonathan Mendez,INF,"6'1""",205 lb,Kinesiology,Campbell Fighting Camels,Campbell University
Aidan Camberg,C,"6'0""",182 lb,Biology,Campbell Fighting Camels,Campbell University
Aaron Parker,C,"5'9""",200 lb,Communication Studies,Campbell Fighting Camels,Campbell University
Skyler Chang,INF,"6'0""",160 lb,Computer Science,Campbell Fighting Camels,Campbell University
Vaughn Major,INF,"6'2""",156 lb,Business Analytics,Campbell Fighting Camels,Campbell University
Zander Darby,INF,"6'3""",205 lb,Political Science,Campbell Fighting Camels,Campbell University
Will Matuszak,INF,"5'11""",163 lb,Psychology,Campbell Fighting Camels,Campbell University
Justin Trimble,OF/INF,"6'4""",215 lb,Sports Management,Campbell Fighting Camels,Campbell University
Corey Nunez,INF,"6'3""",175 lb,Marketing,Campbell Fighting Camels,Campbell University
Ryan Gallagher,RHP,"6'4""",220 lb,Mechanical Engineering,Campbell Fighting Camels,Campbell University
Brady Huddlestun,RHP,"6'0""",195 lb,Finance,Campbell Fighting Camels,Campbell University
Jonah Sebring,INF,"6'0""",165 lb,History,Campbell Fighting Camels,Campbell University
Mike Gutierrez,LHP,"6'3""",220 lb,Criminal Justice,Campbell Fighting Camels,Campbell University
Frank Camarillo,RHP,"6'4""",195 lb,Accounting,Campbell Fighting Camels,Campbell University
Peter Storjohann,RHP,"6'5""",225 lb,Information Systems,Campbell Fighting Camels,Campbell University
Ryan Troye,RHP,"6'3""",225 lb,Management,Campbell Fighting Camels,Campbell University
Tyler Bremner,RHP,"6'2""",180 lb,Data Science,Campbell Fighting Camels,Campbell University
Leo Mosby,INF,"6'1""",195 lb,Business Administration,Campbell Fighting Camels,Campbell University
Nick Putnam,C,"6'6""",210 lb,Supply Chain Management,Campbell Fighting Camels,Campbell University
Jackson Flora,RHP,"6'5""",197 lb,Economics,Campbell Fighting Camels,Campbell University
Jack Bolt,RHP,"6'3""",183 lb,Marketing,Campbell Fighting Camels,Campbell University
Jed Decooman,RHP,"6'4""",220 lb,International Business,Campbell Fighting Camels,Campbell University
Cole Tryba,LHP,"6'0""",167 lb,Environmental Science,Campbell Fighting Camels,Campbell University
Calvin Proskey,RHP,"6'2""",184 lb,Statistics,Campbell Fighting Camels,Campbell University
Carson Timothy,RHP,"5'11""",194 lb,Finance,Campbell Fighting Camels,Campbell University
Matt Ager,RHP,"6'6""",225 lb,Business Management,Campbell Fighting Camels,Campbell University
LeTrey McCollum,OF/1B,"6'4""",212 lb,Sports Marketing,Campbell Fighting Camels,Campbell University
Hudson Barrett,LHP,"6'5""",225 lb,Health Sciences,Campbell Fighting Camels,Campbell University
Masen Swan,LHP,"6'0""",180 lb,Public Health,Campbell Fighting Camels,Campbell University
JJ Hollis,RHP,"6'4""",219 lb,Entrepreneurship,Campbell Fighting Camels,Campbell University
Nic Peterson,LHP,"6'2""",185 lb,Economics,Campbell Fighting Camels,Campbell University
Rex DeAngelis,OF,"6'4""",205 lb,Business Analytics,Campbell Fighting Camels,Campbell University
Brendan Durfee,C,"6'4""",221 lb,Organizational Leadership,Campbell Fighting Camels,Campbell University
Hayden Hattenbach,LHP,"6'7""",230 lb,Applied Mathematics,Campbell Fighting Camels,Campbell University
AJ Krodel,RHP,"6'4""",185 lb,Finance,Campbell Fighting Camels,Campbell University
Cody Nitowitz,OF,"5'11""",166 lb,Communication,Campbell Fighting Camels,Campbell University
Michael Splaine,LHP,"5'10""",180 lb,Health Administration,Campbell Fighting Camels,Campbell University
Reed Moring,RHP,"6'1""",175 lb,Business Economics,Campbell Fighting Camels,Campbell University
Ivan Brethowr,OF,"6'6""",250 lb,Sports Management,Campbell Fighting Camels,Campbell University
Dale Thomas,INF,"5'10""",205 lb,Business Administration,Florida Gators,University of Florida
Ty Evans,OF,"6'2""",225 lb,Marketing,Florida Gators,University of Florida
Cade Fisher,LHP,"6'4""",210 lb,Exercise Science,Florida Gators,University of Florida
Cade Kurland,INF,"5'11""",195 lb,Finance,Florida Gators,University of Florida
Sammy Mummau,INF,"6'0""",185 lb,Communications,Florida Gators,University of Florida
Tyler Shelnut,INF/OF,"6'2""",200 lb,Management,Florida Gators,University of Florida
Christian Rodriguez,RHP,"6'0""",210 lb,Kinesiology,Florida Gators,University of Florida
Luke McNeillie,RHP,"6'3""",185 lb,Computer Science,Florida Gators,University of Florida
Colby Shelton,INF,"6'0""",200 lb,Information Systems,Florida Gators,University of Florida
Michael Robertson,OF,"6'2""",195 lb,Health Sciences,Florida Gators,University of Florida
Liam Peterson,RHP,"6'5""",220 lb,Mechanical Engineering,Florida Gators,University of Florida
Ryan Slater,RHP,"6'3""",205 lb,Economics,Florida Gators,University of Florida
Jac Caglianone,LHP/1B,"6'5""",250 lb,Applied Mathematics,Florida Gators,University of Florida
Landon Russell,INF/OF,"6'1""",190 lb,Supply Chain Management,Florida Gators,University of Florida
Hayden Yost,OF,"6'1""",195 lb,Data Science,Florida Gators,University of Florida
Jacob Gomberg,LHP,"5'10""",175 lb,Statistics,Florida Gators,University of Florida
Pierce Coppola,LHP,"6'8""",255 lb,Physics,Florida Gators,University of Florida
Jake Clemente,RHP,"6'3""",220 lb,Information Technology,Florida Gators,University of Florida
Caden McDonald,RHP/1B,"6'3""",205 lb,Accounting,Florida Gators,University of Florida
Brandon Neely,RHP,"6'3""",210 lb,Marketing Analytics,Florida Gators,University of Florida
John Martinez,INF,"5'11""",190 lb,International Business,Florida Gators,University of Florida
Blake Brookins,OF,"6'5""",215 lb,Communications,Florida Gators,University of Florida
Reilly Witmer,RHP,"6'4""",220 lb,Finance,Florida Gators,University of Florida
Tanner Garrison,C,"6'3""",220 lb,Operations Management,Florida Gators,University of Florida
Fisher Jameson,RHP,"6'5""",240 lb,Management Information Systems,Florida Gators,University of Florida
Luke Heyman,C,"6'4""",220 lb,Biology,Florida Gators,University of Florida
Brody Donay,C,"6'5""",235 lb,Kinesiology,Florida Gators,University of Florida
Ashton Wilson,OF/INF,"6'0""",195 lb,Computer Engineering,Florida Gators,University of Florida
Frank Menendez,LHP,"6'1""",230 lb,Public Health,Florida Gators,University of Florida
Grayson Smith,RHP,"6'2""",205 lb,Data Analytics,Florida Gators,University of Florida
Robert Satin,LHP,"6'3""",215 lb,Environmental Science,Florida Gators,University of Florida
Alex Philpott,RHP,"6'5""",175 lb,Applied Mathematics,Florida Gators,University of Florida
Blake Purnell,RHP,"6'3""",220 lb,Finance,Florida Gators,University of Florida
Armando Albert,INF,"5'11""",160 lb,Political Science,Florida Gators,University of Florida
Hunter Jones,RHP,"6'3""",170 lb,Information Technology,Florida Gators,University of Florida
Jaylen Guy,OF,"6'0""",200 lb,Business Analytics,Florida Gators,University of Florida
Aiden Moffett,Right-Handed Pitcher,"6'3""",221 lb,Exercise Science,LSU Tigers,LSU
Gavin Guidry,Right-Handed Pitcher / Infield,"6'2""",178 lb,Business Administration,LSU Tigers,LSU
Steven Milam,Infield,"5'8""",172 lb,Finance,LSU Tigers,LSU
Ben Nippolt,Infield,"5'11""",180 lb,Marketing,LSU Tigers,LSU
Justin Loer,Left-Handed Pitcher,"6'5""",214 lb,Kinesiology,LSU Tigers,LSU
Alex Milazzo,Catcher,"5'11""",190 lb,Communications,LSU Tigers,LSU
Hayden Travinski,Catcher / First Base,"6'3""",228 lb,Management,LSU Tigers,LSU
Mac Bingham,Outfield,"5'11""",182 lb,Economics,LSU Tigers,LSU
Michael Braswell III,Infield,"6'2""",204 lb,Information Systems,LSU Tigers,LSU
Josh Pearson,Infield,"5'10""",190 lb,Accounting,LSU Tigers,LSU
Mic Paul,Outfield,"5'10""",188 lb,Public Health,LSU Tigers,LSU
Nic Bronzini,Left-Handed Pitcher,"6'3""",256 lb,Mechanical Engineering,LSU Tigers,LSU
Brady Neal,Catcher,"5'10""",193 lb,Data Science,LSU Tigers,LSU
Samuel Dutton,Right-Handed Pitcher,"5'11""",200 lb,Statistics,LSU Tigers,LSU
Jake Brown,Outfield,"6'2""",194 lb,Marketing Analytics,LSU Tigers,LSU
Ryan Kucherak,Infield,"6'1""",186 lb,Supply Chain Management,LSU Tigers,LSU
Jared Jones,First Base / Catcher,"6'4""",253 lb,Operations Management,LSU Tigers,LSU
Gage Jump,Left-Handed Pitcher,"6'0""",197 lb,Physics,LSU Tigers,LSU
Austen Roellig,Infield,"5'11""",185 lb,International Business,LSU Tigers,LSU
Kade Woods,Right-Handed Pitcher,"6'3""",217 lb,Information Technology,LSU Tigers,LSU
Thatcher Hurd,Right-Handed Pitcher,"6'4""",230 lb,Computer Science,LSU Tigers,LSU
Jaden Noot,Right-Handed Pitcher,"6'4""",225 lb,Applied Mathematics,LSU Tigers,LSU
Paxton Kling,Outfield,"6'2""",203 lb,Communications,LSU Tigers,LSU
Micah Bucknam,Right-Handed Pitcher,"6'2""",214 lb,Data Analytics,LSU Tigers,LSU
Nate Ackenhausen,Left-Handed Pitcher,"6'2""",256 lb,Finance,LSU Tigers,LSU
Kade Anderson,Left-Handed Pitcher,"6'2""",179 lb,Biology,LSU Tigers,LSU
Ethan Frey,Outfield / First Base / Catcher,"6'5""",229 lb,Health Sciences,LSU Tigers,LSU
Chase Shores,Right-Handed Pitcher,"6'8""",245 lb,Engineering,LSU Tigers,LSU
Griffin Herring,Left-Handed Pitcher,"6'2""",196 lb,Environmental Science,LSU Tigers,LSU
Luke Holman,Right-Handed Pitcher,"6'4""",201 lb,Information Systems,LSU Tigers,LSU
Zeb Ruddell,Outfield,"6'1""",187 lb,Marketing,LSU Tigers,LSU
Fidel Ulloa,Right-Handed Pitcher,"6'2""",205 lb,Political Science,LSU Tigers,LSU
DJ Primeaux,Left-Handed Pitcher,"5'10""",195 lb,Criminal Justice,LSU Tigers,LSU
Derrick Mitchell,Outfield,"6'3""",203 lb,Sports Management,LSU Tigers,LSU
Ashton Larson,Outfield,"6'2""",194 lb,Media Studies,LSU Tigers,LSU
Tommy White,Third Base,"6'1""",228 lb,Management Information Systems,LSU Tigers,LSU
Will Hellmers,Right-Handed Pitcher,"6'4""",213 lb,Finance,LSU Tigers,LSU
Javen Coleman,Left-Handed Pitcher,"6'2""",200 lb,Public Administration,LSU Tigers,LSU
Cam Johnson,Left-Handed Pitcher,"6'5""",251 lb,Applied Physics,LSU Tigers,LSU
Christian Little,Right-Handed Pitcher,"6'4""",235 lb,Economics,LSU Tigers,LSU
Dorian Gonzalez Jr.,Infield,"5'9""",192 lb,Business Administration,Miami Hurricanes,University of Miami
Derek Williams,Outfield,"6'0""",205 lb,Marketing,Miami Hurricanes,University of Miami
Jake Ogden,Infield,"6'0""",195 lb,Finance,Miami Hurricanes,University of Miami
Brandon DeGoti,Infield,"5'11""",180 lb,Communications,Miami Hurricanes,University of Miami
Max Galvin,Outfield,"6'2""",205 lb,Economics,Miami Hurricanes,University of Miami
Carson Fischer,Right-Handed Pitcher,"6'5""",225 lb,Exercise Science,Miami Hurricanes,University of Miami
Rob Evans,Left-Handed Pitcher,"6'1""",230 lb,Public Health,Miami Hurricanes,University of Miami
Brian Walters,Right-Handed Pitcher,"6'3""",194 lb,Information Technology,Miami Hurricanes,University of Miami
Griffin Hugus,Right-Handed Pitcher,"6'1""",210 lb,Management,Miami Hurricanes,University of Miami
Daniel Cuvet,Infield,"6'4""",235 lb,International Business,Miami Hurricanes,University of Miami
Bobby Marsh,Outfield,"6'2""",208 lb,Media Studies,Miami Hurricanes,University of Miami
Todd Hudson,Outfield/Infield,"6'6""",230 lb,Supply Chain Management,Miami Hurricanes,University of Miami
Nolan Johnson,Catcher,"6'6""",215 lb,Kinesiology,Miami Hurricanes,University of Miami
Reese Lumpkin,Right-Handed Pitcher,"6'6""",207 lb,Statistics,Miami Hurricanes,University of Miami
Jake Kulikowski,Outfield,"5'11""",200 lb,Data Analytics,Miami Hurricanes,University of Miami
Tate DeRias,Right-Handed Pitcher,"6'4""",188 lb,Computer Science,Miami Hurricanes,University of Miami
